audit_id,concept,condition,omitted_query_id,omitted_paraphrase_id,remaining_paraphrase_count,mean_s_c,mean_s_r,mean_cas
freedom_autonomy,freedom,natural_general,freedom_autonomy_natural_general_p1,p1,2,0.47024205791647455,0.7284118760283194,-0.2581698181118447
freedom_autonomy,freedom,natural_general,freedom_autonomy_natural_general_p2,p2,2,0.45708375090488956,0.724833404098507,-0.26774965319361743
freedom_autonomy,freedom,natural_general,freedom_autonomy_natural_general_p3,p3,2,0.4686032565043719,0.7249123438963565,-0.25630908739198455
freedom_autonomy,freedom,natural_ambiguous,freedom_autonomy_natural_ambiguous_p1,p1,2,0.37623390384464755,0.4544266573224993,-0.0781927534778517
freedom_autonomy,freedom,natural_ambiguous,freedom_autonomy_natural_ambiguous_p2,p2,2,0.44679528613943453,0.4435277622666095,0.003267523872825001
freedom_autonomy,freedom,natural_ambiguous,freedom_autonomy_natural_ambiguous_p3,p3,2,0.445349854518608,0.44988963250255304,-0.004539777983945094
freedom_autonomy,freedom,label_free_theological,freedom_autonomy_label_free_theological_p1,p1,2,0.7894047318603375,0.5109124602137353,0.2784922716466023
freedom_autonomy,freedom,label_free_theological,freedom_autonomy_label_free_theological_p2,p2,2,0.7538932864524076,0.4981633547347217,0.2557299317176859
freedom_autonomy,freedom,label_free_theological,freedom_autonomy_label_free_theological_p3,p3,2,0.7633682169058972,0.4755644918554027,0.28780372505049445
freedom_autonomy,freedom,explicit_catholic,freedom_autonomy_explicit_catholic_p1,p1,2,0.8918302190162745,0.42271446043127037,0.4691157585850041
freedom_autonomy,freedom,explicit_catholic,freedom_autonomy_explicit_catholic_p2,p2,2,0.8911766765817477,0.43248590783370755,0.45869076874804005
freedom_autonomy,freedom,explicit_catholic,freedom_autonomy_explicit_catholic_p3,p3,2,0.8970847947249299,0.4143001697176102,0.48278462500731956
freedom_autonomy,freedom,integrative,freedom_autonomy_integrative_p1,p1,2,0.6928219799118619,0.6144056928424196,0.0784162870694422
freedom_autonomy,freedom,integrative,freedom_autonomy_integrative_p2,p2,2,0.7084441948599917,0.604331821721332,0.10411237313865959
freedom_autonomy,freedom,integrative,freedom_autonomy_integrative_p3,p3,2,0.7171971832893212,0.6251938278562565,0.0920033554330646
autonomy_self_governance,autonomy,natural_general,autonomy_self_governance_natural_general_p1,p1,2,0.5075412519125466,0.7736581617319327,-0.266116909819386
autonomy_self_governance,autonomy,natural_general,autonomy_self_governance_natural_general_p2,p2,2,0.4997716520448783,0.771748426249941,-0.2719767742050627
autonomy_self_governance,autonomy,natural_general,autonomy_self_governance_natural_general_p3,p3,2,0.5042438432706088,0.7744555008355704,-0.27021165756496157
autonomy_self_governance,autonomy,natural_ambiguous,autonomy_self_governance_natural_ambiguous_p1,p1,2,0.43299737649185477,0.5050149069184624,-0.0720175304266076
autonomy_self_governance,autonomy,natural_ambiguous,autonomy_self_governance_natural_ambiguous_p2,p2,2,0.5045985175941737,0.49852330540530854,0.006075212188865302
autonomy_self_governance,autonomy,natural_ambiguous,autonomy_self_governance_natural_ambiguous_p3,p3,2,0.5051342502551102,0.4947120544169935,0.010422195838116696
autonomy_self_governance,autonomy,label_free_theological,autonomy_self_governance_label_free_theological_p1,p1,2,0.8015699758190806,0.5276423071501142,0.27392766866896645
autonomy_self_governance,autonomy,label_free_theological,autonomy_self_governance_label_free_theological_p2,p2,2,0.7926132206841077,0.5284342581465886,0.26417896253751905
autonomy_self_governance,autonomy,label_free_theological,autonomy_self_governance_label_free_theological_p3,p3,2,0.8114032138577099,0.5212323500419607,0.2901708638157492
autonomy_self_governance,autonomy,explicit_catholic,autonomy_self_governance_explicit_catholic_p1,p1,2,0.9185775563795195,0.48012156394824695,0.43845599243127253
autonomy_self_governance,autonomy,explicit_catholic,autonomy_self_governance_explicit_catholic_p2,p2,2,0.9195657042962471,0.4833111544705232,0.43625454982572376
autonomy_self_governance,autonomy,explicit_catholic,autonomy_self_governance_explicit_catholic_p3,p3,2,0.9309493888469379,0.47089440756890305,0.4600549812780348
autonomy_self_governance,autonomy,integrative,autonomy_self_governance_integrative_p1,p1,2,0.7060718928305869,0.6622548155297414,0.0438170773008454
autonomy_self_governance,autonomy,integrative,autonomy_self_governance_integrative_p2,p2,2,0.730383484307727,0.6421375681540813,0.08824591615364566
autonomy_self_governance,autonomy,integrative,autonomy_self_governance_integrative_p3,p3,2,0.7248818940231878,0.6705443645147061,0.05433752950848165
conscience_subjective_preference,conscience,natural_general,conscience_subjective_preference_natural_general_p1,p1,2,0.4917967892031316,0.8017113622256283,-0.3099145730224967
conscience_subjective_preference,conscience,natural_general,conscience_subjective_preference_natural_general_p2,p2,2,0.4770855375920024,0.7964202139373349,-0.3193346763453325
conscience_subjective_preference,conscience,natural_general,conscience_subjective_preference_natural_general_p3,p3,2,0.4943744077711907,0.8044339475125635,-0.31005953974137285
conscience_subjective_preference,conscience,natural_ambiguous,conscience_subjective_preference_natural_ambiguous_p1,p1,2,0.4440543657934014,0.4951106785677885,-0.0510563127743871
conscience_subjective_preference,conscience,natural_ambiguous,conscience_subjective_preference_natural_ambiguous_p2,p2,2,0.4807963418127549,0.4902264263684093,-0.0094300845556544
conscience_subjective_preference,conscience,natural_ambiguous,conscience_subjective_preference_natural_ambiguous_p3,p3,2,0.4796274507804385,0.4891772172867055,-0.009549766506267002
conscience_subjective_preference,conscience,label_free_theological,conscience_subjective_preference_label_free_theological_p1,p1,2,0.8155964172497825,0.5085028444393078,0.30709357281047456
conscience_subjective_preference,conscience,label_free_theological,conscience_subjective_preference_label_free_theological_p2,p2,2,0.8178591676037823,0.5173996327750399,0.30045953482874244
conscience_subjective_preference,conscience,label_free_theological,conscience_subjective_preference_label_free_theological_p3,p3,2,0.8439259160351574,0.4939179313275487,0.35000798470760863
conscience_subjective_preference,conscience,explicit_catholic,conscience_subjective_preference_explicit_catholic_p1,p1,2,0.8916360547367203,0.4569328290186926,0.43470322571802766
conscience_subjective_preference,conscience,explicit_catholic,conscience_subjective_preference_explicit_catholic_p2,p2,2,0.8900827405856193,0.4666497956273594,0.4234329449582598
conscience_subjective_preference,conscience,explicit_catholic,conscience_subjective_preference_explicit_catholic_p3,p3,2,0.8996886364243335,0.4475743129743261,0.4521143234500074
conscience_subjective_preference,conscience,integrative,conscience_subjective_preference_integrative_p1,p1,2,0.6432081140566017,0.7138895148863749,-0.07068140082977314
conscience_subjective_preference,conscience,integrative,conscience_subjective_preference_integrative_p2,p2,2,0.6786842094417485,0.7016326373454016,-0.02294842790365315
conscience_subjective_preference,conscience,integrative,conscience_subjective_preference_integrative_p3,p3,2,0.6824257643913996,0.7072919694499344,-0.0248662050585348
